title	score	num_comm	created	content
US reports second-highest day of coronavirus cases since the pandemic began. The highest day was Friday	40984	2447	2020-10-25 13:49:07	
Time replaces its logo for the first time in its history. Now, it says 'Vote'	48795	2824	2020-10-25 19:03:47	
White House chief of staff Mark Meadows says ‘we're not going to control the pandemic’ as coronavirus cases hit record high	27137	1976	2020-10-25 19:29:53	
80,000 furloughed as bus industry grinds to a halt	9378	684	2020-10-25 06:43:43	
CDC reports almost 300,000 more deaths in 2020 than expected	7612	657	2020-10-25 11:46:29	
Boy, 3, dies at his birthday celebration after accidentally shooting himself with family member's gun	12810	2393	2020-10-25 19:55:26	
A family that raised $2 million for their baby's life-saving medical treatment has received it for free	5580	439	2020-10-25 15:06:41	
Refusing to wear a mask in Ethiopia could cost you two years in jail	4863	426	2020-10-25 09:56:11	
Lee Kun-hee of Samsung Dies at 78; Built an Electronics Titan	2448	145	2020-10-25 05:31:38	
Woman shot by officer seeks justice from hospital bed	2224	189	2020-10-25 09:15:00	
Senior al-Qaeda leader Abu Muhsin al-Masri killed in Afghanistan. Abu Muhsin al-Masri, believed to be al-Qaeda’s second-in-command, was on FBI’s Most Wanted Terrorists List.	987	72	2020-10-25 17:39:17	
Lafayette middle-schooler threatened with arrest over missed Zoom sessions	854	203	2020-10-25 15:14:34	
Ohio reaches 198,115 total cases, reporting 5,206 deaths	1243	134	2020-10-25 21:59:17	
Florida man got $1.9M in PPP money, used it to buy new Mercedes, prosecutors say	3027	174	2020-10-25 23:42:57	
Palestinian teenager dies after being acutely beaten by Israeli soldiers	542	210	2020-10-25 12:10:55	
Germany's infectious disease institute targeted in arson attempt, police say	712	37	2020-10-25 20:30:02	
Treaty to ban nuclear weapons made official with 50th UN signatory	469	155	2020-10-25 13:15:27	
Polish women protest new abortion restriction in churches	567	62	2020-10-25 18:02:20	
Nurse accuses Miami doctor of purposely infecting her with coronavirus	376	32	2020-10-25 02:58:38	
Father who allegedly abducted 2 daughters suspect in double homicide: Authorities	339	59	2020-10-25 04:14:00	
Black contractor braves threats in removing Richmond statues	430	87	2020-10-25 18:13:26	
Absentee voting hits record level in Alabama. As of this week, more than 145,000 absentee votes have already been cast	351	43	2020-10-25 11:00:05	
4 Israeli citizens arrested in Ukraine for smuggling 120kg. of cocaine	265	49	2020-10-25 17:34:00	
North Dakota seeks to repurpose coronavirus aid for fracking	765	51	2020-10-25 23:42:50	
Military, police in Washington state prepare for possible civil unrest after election	649	315	2020-10-25 23:12:12	
Engineers design a heated face mask to filter and inactivate coronaviruses	183	43	2020-10-25 13:44:11	
Authorities fear high winds, dry conditions will spread Northern California wildfires this weekend	140	17	2020-10-25 03:04:22	
Attempted hijacking of oil tanker reported off Isle of Wight	162	45	2020-10-25 19:27:33	
China forces Tesla to recall most Model S, X models, company responds	156	107	2020-10-25 17:53:19	
Global report: Spain declares Covid state of emergency as Italians urged to stay home	186	16	2020-10-25 20:47:47	
Malaysia’s king rejects PM’s proposal to declare emergency	134	7	2020-10-25 16:36:59	
Titans facing $300K fine for violating COVID-19 protocol, NFL says	408	40	2020-10-26 00:06:10	
"EU labels Erdogan's comments on Macron as ""unacceptable"""	135	15	2020-10-25 18:03:59	
Dubai introduces facial recognition on public transport ahead of global Expo	119	23	2020-10-25 16:58:25	
Florida reports over 2,300 more COVID-19 cases, 12 more deaths	110	17	2020-10-25 21:57:03	
Tropical storm Zeta forms, could reach US Gulf Coast by midweek	92	17	2020-10-25 18:07:09	
Doha airport in Qatar 'examined women internally' after newborn baby found	88	5	2020-10-25 20:23:59	
American Airlines plans customer tours of Boeing 737 Max and pilot calls to boost confidence in jets	50	57	2020-10-25 10:49:17	
Chrissy Teigen quietly pays a fan's tuition fees	77	17	2020-10-25 22:16:46	
Recent legislation pays hospitals higher Medicare rates for COVID-19 patients and treatment, but there is no evidence of fraudulent reporting.	55	15	2020-10-25 20:42:24	
Belarus police fire stun grenades as 100,000 protest	71	3	2020-10-26 00:11:38	
Hundreds of people shut down city streets Saturday as the Justice for Abdirahman Coalition delivered its demands for local action following a police officer’s acquittal on charges laid in connection with a Somali-Canadian man’s death after a violent arrest in 2016.	86	2	2020-10-26 00:54:17	
Pakistan PM accuses Macron of attacking Islam by 'encouraging' blasphemous cartoons	42	17	2020-10-25 23:31:16	
Bulgaria signs 5G security declaration with U.S.	34	3	2020-10-25 20:27:29	
Man in critical condition after shark attack off Australian coast	27	8	2020-10-25 20:58:37	
1 Dead, 20 injured after Hayrack Ride Accident in IL	39	5	2020-10-25 23:51:31	
Nigeria seeks to halt looting amid fury over ‘food warehouses’	33	2	2020-10-25 23:58:32	
Brazil's BRF says China authorized chicken exports to resume from Dourados	22	0	2020-10-25 20:25:41	
Isle of Wight tanker stowaways: Seven suspects detained	29	2	2020-10-26 01:00:59	
U.S. says humanitarian ceasefire to take effect on Monday in Nagorno-Karabakh	23	0	2020-10-26 00:50:31	
Canada's Cenovus Energy to buy Husky Energy for $2.9 billion	7	3	2020-10-25 19:22:33	
‘Boycott French products’ launched over Macron’s Islam comments | France	0	18	2020-10-26 01:57:32	
